"date","hour","activity","workout","keywords","time","i0","i1","i2","i3","i4","i5","distance(km)","climb(m)","intensity","t-intensity","ahr","mhr","controls","spiked","rhr","sleep","weight(kg)","injured","sick","restday","shoes","route","description","private note"
"2021-02-01","12","Running","","","00:50:01","","00:14:27","00:34:26","00:01:08","","","10.928","133.2","1.73","","139","161","","","","","","","","","Saucony Ride iso2","","Easy ont roads. Misjudged it so had to run around the garden for 4mins at the end to get to 50mins. Legs feeling all normal :)

Mixing up the week slightly so that'll be all for today.",""
"2021-02-01","16","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","Early so I could cook tea :0",""
"2021-02-02","10","Running","warm up/down","","00:19:12","","00:07:59","00:11:12","00:00:01","","","3.593","73.6","1.59","","135","153","","","","","","","","","Saucony Ride iso2","","",""
"2021-02-02","10","Running","tempo","","00:51:02","","00:00:18","00:05:11","00:16:18","00:29:15","","11.281","193.5","3.46","","167","179","","","","","","","","","VJ iRock 3","","Long time no 3/4 baggies and long socks combo, so fixed that one today :) Anyways 7*6mins[90s] terrain ints with spendog up in the wood. A nice layer of snow, which we'd churned into mud by the end of the session. Tough work as per but felt good for it.",""
"2021-02-02","10","Running","warm up/down","","00:06:20","","00:01:39","00:04:41","","","","1.272","6.2","1.74","","137","146","","","","","","","","","Saucony Ride iso2","","",""
"2021-02-02","17","Running","","","00:33:19","","00:24:22","00:08:57","","","","5.982","101.8","1.27","","131","151","","","","","","","","","Saucony Ride iso2","","Round the block. Cold and wet out which made this not pleasant. Still I always appreciate the thinking time :)",""
"2021-02-03","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-02-03","12","Running","","","00:21:40","","00:16:07","00:05:33","","","","4.016","85.8","1.26","","127","142","","","","","","","","","VJ iRock 3","","",""
"2021-02-03","12","Orienteering","","","00:59:55","","00:11:14","00:47:45","00:00:56","","","9.454","224.4","1.83","2","142","158","19","","","","","","","","VJ iRock 3","","Faulds Brow Otek. Crikey, I haven't got that cold in a good while, a good reminder to always wear more than needed, and a waterproof today wouldn't have done any harm either. Anyways tough going up on the fell with a good layer of snow on the ground, and then even tougher when the snow/sleet started, yikes.
Tekkers okay, but compass didn't seem overly accurate, maybe that can be put down to the old map and magnetic north moving?? Anyways technique was fine tbh, and good terrain time so aye, decent days work.",""
"2021-02-04","10","Running","","","01:09:22","","00:02:22","00:21:29","00:38:57","00:06:34","","16.67","206.8","2.72","","158","175","","","","","","","","","Saucony Ride iso2","","Ate my yeetabix for brekky and off I went. Bit of a hill in the middle but was nice to get rolling on the way back. Bass trail pretty muddy actually.",""
"2021-02-04","18","Running","","","00:33:26","","00:22:34","00:10:52","","","","6.0","101.8","1.33","","132","176","","","","","","","","","Saucony Ride iso2","","Jog with 4*30s hill sprints thrown in. Been bouncing around the house this afternoon after munching a whole big bar of choccy, unsurprisingly felt shite on the run, but the legs felt good. Do need to sort my eating out, i do try but it's hard, in fact I'd go so far as saying its the hardest thing about training for me personally.",""
"2021-02-04","18","Running","","","00:02:00","","","","","","00:02:00","0.68","","5.0","","","","","","","","","","","","","","The hill sprints.",""
"2021-02-05","11","Running","","","00:53:20","","00:19:47","00:30:18","00:03:15","","","10.014","285.7","1.69","","138","162","","","","","","","","","Saucony Peregrine 10 ST","","Jog round the Murthy. Mother was going shopping in town so took the opportunity to get a different perspective on things. Muddy muddy pretty much everywhere atm.",""
"2021-02-05","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-02-06","9","Running","warm up/down","","00:15:42","","00:02:35","00:13:07","","","","3.166","9.7","1.84","","138","147","","","","","","","","","Saucony Ride iso2","","",""
"2021-02-06","9","Running","intervals","","00:35:01","","00:02:48","00:04:52","00:07:54","00:09:20","00:10:07","8.677","31.2","3.55","","167","190","","","","8.00","70.2","","","","Saucony Endorphin Speed","","Road sesh - 4*(3',2',1') 1min between everything.

Needed a poop for the whole thing which wasn't ideal but we made it through. Physically (apart from the poop) not feeling amazing tbh but didn't really push it so got through fine and paces looked fine, everything sub 3.10s (apart from 3.12s first rep).

I'm currently about about 3kg over racing weight which is fine for winter season but ideally I'd like to be training at 68-69kg not the big 70kg I am atm. However the past few weeks have been a big training load, more than I've ever done before so I'd rather have too much fuel in the tank than too little. But I can definitely feel the extra weight, especially when doing sessions (this could be a placebo effect tho I'm fairly sure it's not) so I'll try to eat a bit more normally in the coming weeks rather than just literally everything within sight which is what happens atm (again not a bad thing when training hard!)",""
"2021-02-06","9","Running","","","00:11:39","","00:00:59","00:10:40","","","","2.116","14.4","1.92","","141","147","","","","","","","","","","","",""
"2021-02-06","19","Running","","","00:32:30","","00:18:23","00:14:07","","","","6.018","85.2","1.43","","133","150","","","","","","","","","Saucony Ride iso2","","Jog after a terrible game of rugby ;)",""
"2021-02-07","10","Running","hills","","02:11:53","","00:45:27","00:54:13","00:32:13","","","18.367","1210.2","1.9","","141","165","","","","","","","","","VJ iRock 3","","Fells avec Dan. Some nice rocky ones today which made the descents pretty slow and tekky. Was clear up top as well but really blummin cold. Lovely to be out in the hills anyways, another good week in da bag, time for an easier week.",""
"2021-02-08","18","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","1","","","First rest day in a while, can't say I enjoyed it that much.",""
"2021-02-09","10","Running","warm up/down","","00:15:11","","00:10:40","00:04:31","","","","3.152","16.3","1.3","","131","140","","","","","","","","","Saucony Ride iso2","","",""
"2021-02-09","10","Running","intervals","","00:26:02","","00:02:11","00:02:34","00:10:36","00:10:41","","6.703","1.8","3.14","","163","177","","","","","","","","","NB Summit Unknown","","Rugby Pitches Threshy - 2*9'[2'] + 4'.

Smol sesh for an easy week. Just keeping it chill. Was a beaut of a day, firm frozen ground and blue skies. Bit of a cold wind but generally very nice.",""
"2021-02-09","10","Running","","","00:01:02","","00:00:25","00:00:25","00:00:12","","","0.374","1.1","1.79","","139","164","","","","","","","","","NB Summit Unknown","","4 strides.",""
"2021-02-09","10","Running","warm up/down","","00:24:29","","00:07:16","00:17:13","","","","4.773","25.5","1.7","","136","147","","","","","","","","","Saucony Ride iso2","","",""
"2021-02-09","17","Running","","","00:33:23","","00:27:13","00:06:10","","","","6.018","88.2","1.18","","129","147","","","","","","","","","Saucony Ride iso2","","Getting me plod on. Very clear evening ❤",""
"2021-02-10","12","Running","","","01:18:39","","00:30:05","00:45:15","00:03:19","","","14.027","714.9","1.66","","138","160","","","","","","","","","Saucony Peregrine 10 ST","","Easy round Sale Fell. Legs feeling okay and lovely weather so very much enjoyed it.",""
"2021-02-10","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-02-11","11","Running","","","00:05:31","","00:05:31","","","","","1.011","9.0","1.0","","137","152","","","","","","","","","VJ iRock 3","","",""
"2021-02-11","11","Orienteering","","","01:00:06","","00:01:28","00:19:14","00:29:06","00:10:03","00:00:15","8.29","589.1","2.81","3","158","185","30","","","","","","","","VJ iRock 3","","Scale Hill Course courtesy of Nixon. Taken at a good pace. Very much enjoyed it, area was tough, as was the planning but I orienteered well so was a good mornings work. HR is from the wrist, so not massively accurate but looks about right.

<a href=""https://live.staticflickr.com/65535/50932703367_50a9e67df7_k.jpg""><img src=""https://live.staticflickr.com/65535/50932581521_6baf6c1f53.jpg""></a>",""
"2021-02-11","11","Running","","","00:01:56","","00:01:56","","","","","0.345","3.5","1.0","","167","173","","","","","","","","","VJ iRock 3","","",""
"2021-02-11","17","Running","","","00:36:32","","00:28:02","00:07:17","00:01:03","00:00:10","","6.837","86.5","1.27","","129","173","","","","","","","","","Saucony Ride iso2","","Plod with 4*30s flat at the end to try and un-skog the legs. Should probably have done like 15s as these felt more like reps than strides.",""
"2021-02-12","11","Running","","","00:50:01","","00:16:54","00:32:53","00:00:14","","","10.409","149.3","1.67","","137","155","","","","","","","","","Saucony Ride iso2","","Jog on roads. Legs just feeling a bit meh, but what can ya do eh.",""
"2021-02-12","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-02-13","11","Running","","","01:13:49","","00:12:35","00:58:15","00:02:59","","","9.96","805.6","1.87","","142","160","","","","","","","","","VJ iRock 3","","A lap of Grasmoor. Wind was ridiculous today, was sat in the car beforehand and the car was shaking so didn't really wanna get out. Decided to stay off the tops and stick to the valleys but I reckon it was just as bad coz all the wind was being funnelled through them. Took a rogue rogue descent to get off the ridge which was scarily windy. No session as I wasn't feeling at my best, plus into this wind it would've been pointless. Easy week anyways so no harm done, will get back to it next week.",""
"2021-02-13","17","Running","","","00:29:37","","00:10:12","00:19:25","","","","5.965","90.5","1.66","","137","153","","","","","","","","","Saucony Ride iso2","","Jog round the block. Wore many clothes and played music outloud, so I was warm and entertained.",""
"2021-02-14","11","Running","","","01:58:01","","00:20:43","00:59:16","00:38:02","","","24.042","900.9","2.15","","147","169","","","","","","","","","Saucony Triumph 18","","Romp round the Whinlatter fireroads with Spenny. Good chat and time went by quickly, wind wasn't that bad either in the shelter of the woods :)",""
